,Date,Eclipse Time,Eclipse Type,Latitude,Longitude
10054,2235 December 11,03:02:34,P,67.1N,133.6E
10055,2236 May 6,07:11:03,T,58.7N,58.9E
10056,2236 October 30,19:15:15,A,55.2S,126.4W
10057,2237 April 25,22:25:04,T,10.1N,153.7W
10058,2237 October 19,19:06:04,A,8.6S,107.6W
10059,2238 April 15,15:01:45,T,39.3S,27.3W
10060,2238 October 8,21:01:18,A,40.1N,119.7W
10061,2239 March 6,14:54:58,P,72.0N,110.6W
10062,2239 August 29,21:05:15,P,71.5S,165.5E
10063,2239 September 28,06:09:02,P,72.1N,172.0E
10064,2240 February 23,17:14:11,A,24.7N,83.0W
10065,2240 August 18,13:52:25,T,13.3S,31.3W
10066,2241 February 11,16:28:39,A,19.9S,60.0W
10067,2241 August 8,05:59:21,T,32.9N,98.0E
10068,2242 January 31,20:12:58,A,67.9S,95.8W
10069,2242 July 28,16:57:12,P,69.3N,84.8E
10070,2242 December 22,20:06:40,P,66.0N,106.9W
10071,2243 January 21,07:11:45,P,68.9S,122.5W
10072,2243 June 18,05:49:56,A,45.6S,104.7E
10073,2243 December 12,11:52:14,T,15.5N,9.0E
10074,2244 June 6,07:33:12,Am,13.8N,70.7E
10075,2244 December 1,00:58:17,A,25.1S,164.0E
10076,2245 May 26,15:42:04,T,56.7N,71.4W
10077,2245 November 20,07:29:36,A,66.3S,27.1E
10078,2246 April 16,22:23:24,P,61.6S,83.2W
10079,2246 May 16,06:14:10,P,63.1N,44.9W
10080,2246 October 10,14:13:18,P,61.3N,43.4E
10081,2246 November 9,07:47:03,P,62.5S,63.8W
10082,2247 April 6,14:26:51,T,23.8S,16.9W
10083,2247 September 29,18:01:05,A,35.6N,65.9W
10084,2248 March 26,01:56:01,A,10.6N,150.1E
10085,2248 September 18,05:13:07,T,2.0S,100.6E
10086,2249 March 15,06:00:45,A,52.0N,48.4E
10087,2249 September 7,21:21:29,T,39.4S,167.4W
10088,2250 February 2,11:34:06,P,62.5S,137.6E
10089,2250 July 30,05:18:25,P,62.9N,124.7W
10090,2250 August 28,13:51:18,Pb,61.7S,96.6W
10091,2251 January 22,17:21:41,A,56.9S,53.2W
10092,2251 July 19,14:18:46,A,38.0N,24.2W
10093,2252 January 12,05:57:05,T,18.5S,94.0E
10094,2252 July 7,16:34:12,A,4.9S,70.6W
10095,2252 December 31,21:37:06,T,23.1N,149.1W
10096,2253 June 26,17:36:11,P,65.5S,100.1W
10097,2253 November 21,22:24:38,P,68.9S,41.9E
10098,2253 December 21,11:39:39,P,66.1N,6.0W
10099,2254 May 17,14:43:39,T,66.7N,54.1W
10100,2254 November 11,02:55:16,A,61.4S,119.3E
10101,2255 May 7,06:18:06,T,16.4N,87.2E
10102,2255 October 31,02:32:04,A,14.5S,140.2E
10103,2256 April 25,22:58:35,T,32.3S,150.9W
10104,2256 October 19,04:37:31,A,33.1N,122.3E
10105,2257 March 16,22:51:29,P,72.2N,116.2E
10106,2257 April 15,12:05:15,Pb,71.3S,60.1E
10107,2257 September 9,04:46:44,P,71.9S,36.6E
10108,2257 October 8,14:01:32,P,71.9N,40.0E
10109,2258 March 6,00:58:23,A,30.2N,158.8E
10110,2258 August 29,21:33:05,T,20.9S,149.2W
10111,2259 February 23,00:23:41,A,15.0S,178.8W
10112,2259 August 19,13:22:17,T,25.3N,13.6W
10113,2260 February 12,04:34:24,A,62.7S,140.2E
10114,2260 August 7,23:51:13,P,70.2N,30.7W
10115,2261 January 2,04:56:54,P,67.1N,110.2E
10116,2261 January 31,15:55:00,P,69.9S,94.8E
10117,2261 June 28,12:16:28,P,66.6S,6.0E
10118,2261 December 22,20:38:50,T,16.1N,124.2W
10119,2262 June 17,14:19:15,A,9.8N,30.2W
10120,2262 December 12,09:25:02,A,25.8S,39.0E
10121,2263 June 6,22:58:57,T,54.4N,173.1W
10122,2263 December 1,15:28:45,A,69.2S,85.8W
10123,2264 April 27,06:21:41,P,62.1S,148.5E
10124,2264 May 26,13:52:07,P,63.9N,168.5W
10125,2264 October 20,21:35:23,P,61.6N,75.7W
10126,2264 November 19,15:28:13,P,63.2S,172.0E
10127,2265 April 16,22:26:19,T,23.1S,136.8W
10128,2265 October 10,01:37:34,A,35.1N,179.8W
10129,2266 April 6,09:42:37,Am,12.9N,34.0E
10130,2266 September 29,13:03:57,T,3.7S,16.4W
10131,2267 March 26,13:33:45,A,52.3N,63.7W
10132,2267 September 19,05:12:14,T,38.8S,75.9E
10133,2268 February 13,19:39:32,P,61.9S,7.5E
10134,2268 August 9,12:32:05,P,62.2N,118.0E
10135,2268 September 7,21:27:53,P,61.4S,140.6E
10136,2269 February 2,01:53:06,A,53.2S,178.2W
10137,2269 July 29,21:03:04,A,39.9N,121.3W
10138,2270 January 22,14:46:29,T,16.7S,37.3W
10139,2270 July 18,22:59:54,A,0.7S,166.9W
10140,2271 January 12,06:28:08,T,23.3N,76.0E
10141,2271 July 8,00:13:02,P,64.5S,151.1E
10142,2271 December 3,06:40:47,P,67.8S,93.4W
10143,2272 January 1,20:17:51,P,65.1N,145.4W
10144,2272 May 27,22:11:12,T,75.0N,163.2W
10145,2272 November 21,10:42:52,A,66.8S,5.9E
10146,2273 May 17,14:04:31,Tm,22.5N,29.7W
10147,2273 November 10,10:07:17,A,19.6S,26.3E
10148,2274 May 7,06:47:37,T,25.5S,88.2E
10149,2274 October 30,12:24:18,A,27.0N,2.4E
10150,2275 March 28,06:37:50,P,72.2N,14.4W
10151,2275 April 26,19:41:41,P,70.7S,67.0W
10152,2275 September 20,12:34:54,P,72.0S,94.3W
10153,2275 October 19,22:03:12,P,71.4N,93.9W
10154,2276 March 16,08:34:02,A,36.4N,42.3E
10155,2276 September 9,05:18:47,T,28.5S,91.2E
10156,2277 March 5,08:11:55,A,9.5S,63.6E
10157,2277 August 29,20:49:11,T,17.8N,126.7W
10158,2278 February 22,12:52:48,A,57.1S,14.8E
10159,2278 August 19,06:46:23,A,75.8N,155.8E
10160,2279 January 13,13:49:06,P,68.2N,33.7W
10161,2279 February 12,00:37:05,P,70.7S,48.3W
10162,2279 July 9,18:41:13,P,67.7S,100.7W
10163,2280 January 3,05:28:11,T,17.2N,101.9E
10164,2280 June 27,21:03:21,A,4.6N,131.2W
10165,2280 December 22,17:55:44,A,25.8S,86.8W
10166,2281 June 17,06:14:41,T,50.8N,84.2E
10167,2281 December 11,23:31:24,A,71.4S,163.7E
10168,2282 May 8,14:15:16,P,62.7S,21.3E
10169,2282 June 6,21:28:19,P,64.8N,68.0E
10170,2282 November 1,05:06:24,Pe,62.1N,163.0E
10171,2282 November 30,23:15:23,P,64.1S,46.1E
10172,2283 April 28,06:18:21,T,23.6S,105.0E
10173,2283 October 21,09:23:11,A,34.9N,63.2E
10174,2284 April 16,17:19:22,A,14.6N,79.2W
10175,2284 October 9,21:03:48,T,5.7S,135.8W
10176,2285 April 5,20:55:23,A,52.9N,171.4W
10177,2285 September 29,13:11:38,T,39.6S,42.9W
10178,2286 February 24,03:39:23,P,61.5S,121.0W
10179,2286 March 25,20:37:48,Pb,61.0N,141.1E
10180,2286 August 20,19:48:22,P,61.7N,0.2E
10181,2286 September 19,05:10:04,P,61.2S,16.5E
10182,2287 February 13,10:21:25,A,49.4S,56.3E
10183,2287 August 10,03:47:42,A,41.0N,141.8E
10184,2288 February 2,23:33:47,T,14.2S,168.4W
10185,2288 July 29,05:25:23,A,2.5N,97.4E
10186,2289 January 22,15:19:25,T,24.3N,58.9W
10187,2289 July 18,06:50:58,P,63.6S,42.3E
10188,2289 December 13,15:01:18,P,66.8S,130.8E
10189,2290 January 12,04:56:33,P,64.1N,75.4E
10190,2290 June 8,05:35:49,T,83.8N,100.9E
10191,2290 December 2,18:36:41,A,70.9S,104.7W
10192,2291 May 28,21:45:28,T,28.3N,144.5W
10193,2291 November 21,17:50:53,A,23.7S,88.9W
10194,2292 May 17,14:29:33,T,18.8S,30.3W
10195,2292 November 9,20:20:07,A,22.0N,119.1W
10196,2293 April 7,14:14:55,P,71.8N,142.5W
10197,2293 May 7,03:09:47,P,69.9S,168.5E
10198,2293 September 30,20:31:27,P,72.0S,132.7E
10199,2293 October 30,06:13:45,P,70.7N,130.3E
10200,2294 March 27,16:02:23,A,43.2N,72.6W
10201,2294 September 20,13:09:58,T,36.2S,29.9W
10202,2295 March 16,15:54:34,A,3.6S,53.0W
10203,2295 September 10,04:20:19,Tm,10.3N,118.9E
10204,2296 March 4,21:04:46,A,51.1S,110.3W
10205,2296 August 29,13:45:40,A,66.6N,15.0E
10206,2297 January 23,22:39:47,P,69.2N,177.8W
10207,2297 February 22,09:13:31,P,71.4S,169.4E
10208,2297 July 20,01:07:47,P,68.7S,151.6E
10209,2298 January 13,14:16:27,T,19.0N,31.9W
10210,2298 July 9,03:49:02,A,1.4S,126.5E
10211,2299 January 3,02:27:43,A,24.9S,146.9E
10212,2299 June 28,13:27:43,T,46.0N,19.5W
10213,2299 December 23,07:38:42,A,72.5S,54.8E
10214,2300 May 19,22:00:39,P,63.4S,104.1W
10215,2300 June 18,04:59:29,P,65.7N,54.5W
10216,2300 December 12,07:09:43,P,65.0S,81.9W
10217,2301 May 9,14:00:59,T,25.5S,11.0W
10218,2301 November 1,17:19:33,A,34.8N,57.2W
10219,2302 April 29,00:47:19,A,15.6N,170.0E
10220,2302 October 22,05:11:16,T,7.8S,102.9E
10221,2303 April 18,04:09:26,A,53.8N,83.7E
10222,2303 October 11,21:17:25,T,41.1S,163.2W
10223,2304 March 7,11:34:24,P,61.2S,111.8E
10224,2304 April 6,04:00:21,P,61.2N,22.1E
10225,2304 September 1,03:07:40,P,61.4N,118.2W
10226,2304 September 30,12:58:17,P,61.2S,109.0W
10227,2305 February 24,18:46:09,A,45.7S,69.3W
10228,2305 August 21,10:35:44,A,41.5N,43.7E
10229,2306 February 14,08:17:49,T,11.3S,61.0E
10230,2306 August 10,11:55:10,A,4.6N,1.0E
10231,2307 February 4,00:08:01,T,25.7N,166.9E
10232,2307 July 30,13:31:16,A,50.0S,48.7W
10233,2307 December 25,23:24:23,P,65.7S,5.1W
10234,2308 January 24,13:33:40,P,63.3N,63.0W
10235,2308 June 19,12:57:53,T,84.1N,120.6E
10236,2308 December 14,02:34:52,A,73.4S,148.6E
10237,2309 June 9,05:21:55,T,33.6N,102.7E
10238,2309 December 3,01:42:05,A,26.9S,154.6E
10239,2310 May 29,22:04:50,T,12.5S,146.5W
10240,2310 November 22,04:24:19,A,17.9N,117.8E
10241,2311 April 19,21:41:49,P,71.3N,92.3E
10242,2311 May 19,10:28:46,P,69.0S,46.9E
10243,2311 October 13,04:36:09,P,71.6S,2.1W
10244,2311 November 11,14:33:19,P,69.9N,7.1W
10245,2312 April 7,23:19:32,A,50.8N,174.7E
10246,2312 October 1,21:08:26,T,43.8S,152.9W
10247,2313 March 27,23:29:31,A,2.6N,167.9W
10248,2313 September 21,11:57:00,T,3.0N,3.0E
10249,2314 March 17,05:11:54,A,44.9S,125.1E
10250,2314 September 10,20:49:11,A,56.8N,103.3W
10251,2315 February 5,07:29:49,P,70.1N,37.6E
10252,2315 March 6,17:46:20,P,71.9S,27.6E
10253,2315 August 1,07:34:32,P,69.6S,43.3E
10254,2316 January 25,23:05:17,T,21.4N,166.0W
10255,2316 July 20,10:36:18,A,8.1S,23.1E
10256,2317 January 14,10:59:38,A,23.2S,20.5E
10257,2317 July 9,20:42:40,T,40.4N,125.3W
10258,2318 January 3,15:47:14,A,71.9S,53.7W
10259,2318 May 31,05:42:33,Pe,64.2S,131.2E
10260,2318 June 29,12:30:22,P,66.7N,177.3W
10261,2318 December 23,15:07:26,P,66.1S,148.9E
10262,2319 May 20,21:37:23,T,29.0S,125.8W
10263,2319 November 13,01:24:39,A,35.0N,179.6E
10264,2320 May 9,08:04:33,A,15.6N,62.1E
10265,2320 November 1,13:28:19,Tm,9.8S,20.8W
10266,2321 April 28,11:12:59,A,54.5N,17.0W
10267,2321 October 22,05:31:18,T,43.3S,74.8E
10268,2322 March 18,19:21:51,P,61.1S,13.5W
10269,2322 April 17,11:14:23,P,61.5N,94.9W
10270,2322 September 12,10:32:06,P,61.1N,122.2E
10271,2322 October 11,20:53:38,P,61.4S,123.6E
10272,2323 March 8,03:05:10,H,42.4S,166.1E
10273,2323 September 1,17:26:09,A,41.7N,55.3W
10274,2324 February 25,16:57:32,Tm,8.1S,68.6W
10275,2324 August 20,18:28:22,A,5.7N,96.0W
10276,2325 February 14,08:52:36,T,27.5N,33.9E
10277,2325 August 9,20:16:24,A,40.3S,146.1W
10278,2326 January 5,07:49:43,P,64.7S,141.2W
10279,2326 February 3,22:08:49,P,62.6N,159.3E
10280,2326 June 30,20:18:36,P,65.2N,37.3E
10281,2326 December 25,10:36:53,A,73.6S,43.3E
10282,2327 June 20,12:55:01,T,38.3N,8.3W
10283,2327 December 14,09:39:47,A,28.8S,37.0E
10284,2328 June 9,05:33:53,T,6.7S,99.5E
10285,2328 December 2,12:36:37,A,14.8N,6.9W
10286,2329 April 30,04:59:58,P,70.6N,30.1W
10287,2329 May 29,17:41:09,P,68.1S,72.5W
10288,2329 October 23,12:48:23,P,71.1S,138.5W
10289,2329 November 21,22:59:20,P,68.9N,145.4W
10290,2330 April 19,06:29:25,A,59.0N,62.9E
10291,2330 October 13,05:13:41,T,51.2S,82.5E
10292,2331 April 8,06:57:09,A,9.2N,79.0E
10293,2331 October 2,19:39:16,T,4.0S,114.2W
10294,2332 March 27,13:11:34,A,38.3S,2.0E
10295,2332 September 21,03:59:10,A,47.9N,142.3E
10296,2333 February 15,16:14:20,P,70.9N,106.2W
10297,2333 March 17,02:10:53,P,72.1S,112.5W
10298,2333 August 11,14:06:48,P,70.5S,66.9W
10299,2333 September 10,05:42:00,Pb,72.0N,157.1W
10300,2334 February 5,07:50:29,T,24.6N,60.8E
10301,2334 July 31,17:26:33,A,15.6S,81.8W
10302,2335 January 25,19:29:43,A,20.6S,105.9W
10303,2335 July 21,03:57:49,T,34.0N,127.4E
10304,2336 January 14,23:56:42,A,69.6S,164.9W
10305,2336 July 9,19:58:22,T,83.2N,49.4E
10306,2337 January 2,23:09:44,P,67.2S,18.0E
10307,2337 May 31,05:05:56,T,34.6S,121.2E
10308,2337 November 23,09:37:55,A,35.5N,53.8E
10309,2338 May 20,15:14:20,A,14.5N,44.0W
10310,2338 November 12,21:52:54,T,11.7S,146.4W
10311,2339 May 9,18:08:04,A,54.7N,114.5W
10312,2339 November 2,13:51:50,T,45.8S,48.3W
10313,2340 March 29,03:03:37,P,61.2S,137.3W
10314,2340 April 27,18:21:33,P,62.0N,149.8E
10315,2340 September 22,18:01:34,P,61.1N,1.4E
10316,2340 October 22,04:55:28,P,61.7S,5.3W
10317,2341 March 18,11:18:20,H,39.8S,42.6E
10318,2341 September 12,00:22:47,A,41.7N,156.4W
10319,2342 March 8,01:32:14,T,4.9S,162.9E
10320,2342 September 1,01:06:55,A,6.1N,165.7E
10321,2343 February 25,17:32:18,T,29.6N,97.7W
10322,2343 August 21,03:07:05,A,35.1S,112.8E
10323,2344 January 16,16:13:41,P,63.8S,83.5E
10324,2344 February 15,06:37:58,P,62.0N,23.3E
10325,2344 July 11,03:39:15,P,64.3N,82.3W
10326,2344 August 9,11:59:05,Pb,62.3S,52.2W
10327,2345 January 4,18:40:23,A,71.9S,64.6W
10328,2345 June 30,20:26:17,T,42.1N,117.7W
10329,2345 December 24,17:41:04,Am,29.7S,81.1W
10330,2346 June 20,12:58:44,T,1.5S,12.7W
10331,2346 December 13,20:55:36,A,12.8N,133.1W
10332,2347 May 11,12:07:08,Pe,69.7N,149.1W
10333,2347 June 10,00:44:42,P,67.1S,170.8E
10334,2347 November 3,21:09:19,P,70.4S,83.4E
10335,2347 December 3,07:33:33,P,67.9N,74.8E
10336,2348 April 29,13:29:00,A,68.1N,48.8W
10337,2348 October 23,13:26:56,T,58.2S,43.6W
10338,2349 April 18,14:16:52,A,16.0N,32.1W
10339,2349 October 13,03:28:54,H,10.6S,127.2E
10340,2350 April 7,21:06:03,H,31.7S,119.7W
10341,2350 October 2,11:14:07,A,39.8N,28.7E
10342,2351 February 27,00:56:12,P,71.5N,110.1E
10343,2351 March 28,10:30:57,P,72.1S,108.5E
10344,2351 August 22,20:42:47,P,71.2S,178.6W
10345,2351 September 21,12:33:27,P,72.2N,86.2E
10346,2352 February 16,16:32:06,T,28.5N,71.8W
10347,2352 August 11,00:21:35,A,23.6S,171.2E
10348,2353 February 5,03:56:55,A,17.1S,128.0E
10349,2353 July 31,11:17:06,T,27.2N,17.8E
10350,2354 January 25,08:03:20,A,66.0S,80.6E
10351,2354 July 21,03:28:22,T,81.4N,171.7E
10352,2355 January 14,07:12:20,P,68.2S,113.4W
10353,2355 June 11,12:28:18,T,43.3S,9.2E
10354,2355 December 4,17:58:37,A,36.0N,74.4W
10355,2356 May 30,22:15:18,A,12.2N,148.0W
10356,2356 November 23,06:24:55,T,13.2S,86.3E
10357,2357 May 20,00:54:23,A,53.9N,151.0E
10358,2357 November 12,22:20:23,T,48.4S,172.7W
10359,2358 April 9,10:37:39,Pe,61.4S,100.7E
10360,2358 May 9,01:21:14,P,62.6N,36.2E
10361,2358 October 4,01:36:39,P,61.1N,120.7W
10362,2358 November 2,13:04:00,P,62.2S,136.1W
10363,2359 March 29,19:24:46,T,37.9S,79.3W
10364,2359 September 23,07:24:42,A,41.9N,100.6E
10365,2360 March 18,09:59:22,T,1.8S,36.4E
10366,2360 September 11,07:52:25,Am,5.7N,65.6E
10367,2361 March 8,02:05:56,T,31.9N,132.7E
10368,2361 August 31,10:04:30,A,32.2S,9.7E
10369,2362 January 27,00:36:00,P,62.9S,51.1W
10370,2362 February 25,15:02:03,P,61.6N,111.3W
10371,2362 July 22,11:01:14,P,63.5N,157.9E
10372,2362 August 20,19:18:10,P,61.8S,170.7W
10373,2363 January 16,02:45:07,A,68.8S,177.6W
10374,2363 July 12,03:55:03,T,45.0N,134.5E
10375,2364 January 5,01:46:48,A,29.4S,159.7E
10376,2364 June 30,20:19:48,T,2.9N,123.3W
10377,2364 December 24,05:18:59,A,11.6N,99.8E
10378,2365 June 20,07:44:13,P,66.1S,55.7E
10379,2365 November 14,05:37:33,P,69.5S,55.9W
10380,2365 December 13,16:12:42,P,66.8N,65.6W
10381,2366 May 10,20:22:08,A,77.9N,169.5W
10382,2366 November 3,21:46:04,T,64.8S,170.2W
10383,2367 April 29,21:30:03,Am,22.8N,141.2W
10384,2367 October 24,11:25:04,H,16.7S,7.3E
10385,2368 April 18,04:51:38,H,24.8S,120.8E
10386,2368 October 12,18:37:20,A,32.5N,85.8W
10387,2369 March 9,09:30:24,P,71.9N,32.2W
10388,2369 April 7,18:42:10,P,71.8S,28.1W
10389,2369 September 2,03:25:56,Pe,71.7S,67.4E
10390,2369 October 1,19:33:31,P,72.1N,32.7W
10391,2370 February 27,01:07:02,T,33.2N,157.0E
10392,2370 August 22,07:22:21,A,32.0S,62.0E
10393,2371 February 16,12:18:49,A,12.9S,2.7E
10394,2371 August 11,18:38:04,T,19.9N,93.0W
10395,2372 February 5,16:07:48,A,61.5S,36.9W
10396,2372 July 31,10:58:30,T,71.0N,45.5E
10397,2373 January 24,15:14:59,P,69.3S,114.5E
10398,2373 June 21,19:45:29,Ts,62.7S,100.1W
10399,2373 December 15,02:25:55,A,36.7N,155.4E
10400,2374 June 11,05:09:56,A,8.8N,109.1E
10401,2374 December 4,15:02:56,T,14.1S,42.4W
10402,2375 May 31,07:34:33,A,52.0N,57.9E
10403,2375 November 24,06:54:54,T,50.7S,62.3E
10404,2376 May 19,08:14:44,P,63.3N,76.1W
10405,2376 October 14,09:18:28,P,61.4N,115.4E
10406,2376 November 12,21:19:06,P,62.8S,91.4E
10407,2377 April 9,03:25:10,T,37.1S,160.2E
10408,2377 October 3,14:33:17,A,42.6N,4.7W
10409,2378 March 29,18:20:23,T,1.1N,88.6W
10410,2378 September 22,14:45:48,A,4.8N,36.6W
10411,2379 March 19,10:31:47,T,34.3N,5.6E
10412,2379 September 11,17:09:32,A,30.9S,95.4W
10413,2380 February 7,08:54:01,P,62.2S,175.7E
10414,2380 March 7,23:17:52,P,61.3N,116.3E
10415,2380 August 1,18:26:17,P,62.8N,37.7E
10416,2380 August 31,02:44:39,P,61.4S,69.2E
10417,2381 January 26,10:46:38,A,65.3S,66.8E
10418,2381 July 22,11:25:02,T,46.9N,26.9E
10419,2382 January 15,09:53:22,A,28.1S,40.1E
10420,2382 July 12,03:37:51,T,6.5N,127.5E
10421,2383 January 4,13:46:26,A,11.4N,28.1W
10422,2383 July 1,14:37:42,P,65.1S,57.5W
10423,2383 November 25,14:13:32,P,68.6S,163.5E
10424,2383 December 25,00:57:04,P,65.8N,153.2E
10425,2384 May 21,03:05:26,A,80.8N,0.8W
10426,2384 November 14,06:13:20,T,70.9S,63.5E
10427,2385 May 10,04:36:49,A,29.5N,111.9E
10428,2385 November 3,19:27:30,H,22.1S,113.5W
10429,2386 April 29,12:32:25,H2,18.1S,2.9E
10430,2386 October 24,02:06:43,A,26.1N,158.8E
10431,2387 March 20,17:59:08,P,72.1N,173.3W
10432,2387 April 19,02:47:06,P,71.3S,162.7W
10433,2387 October 13,02:41:04,P,71.8N,153.3W
10434,2388 March 9,09:36:21,T,38.5N,27.0E
10435,2388 September 1,14:30:25,A,40.7S,50.1W
10436,2389 February 26,20:33:52,A,8.1S,121.3W
10437,2389 August 22,02:05:53,T,12.5N,153.9E
10438,2390 February 16,00:06:58,A,56.4S,155.6W
10439,2390 August 11,18:31:27,T,61.3N,72.5W
10440,2391 February 4,23:15:06,P,70.3S,17.6W
10441,2391 July 3,02:58:53,P,67.1S,143.0E
10442,2391 August 1,11:14:32,Pb,69.6N,167.9E
10443,2391 December 26,10:57:15,A,37.6N,24.0E
10444,2392 June 21,11:57:58,A,4.1N,7.3E
10445,2392 December 14,23:46:26,T,14.5S,172.4W
10446,2393 June 10,14:08:41,A,48.8N,34.4W
10447,2393 December 4,15:34:35,T,52.6S,63.0W
10448,2394 May 30,15:03:03,P,64.1N,172.7E
10449,2394 October 25,17:07:13,Pe,61.8N,10.3W
10450,2394 November 24,05:40:36,P,63.6S,43.0W
10451,2395 April 20,11:17:15,T,37.7S,41.9E
10452,2395 October 14,21:49:16,A,44.0N,112.4W
10453,2396 April 9,02:33:17,T,3.4N,148.7E
10454,2396 October 2,21:48:07,A,3.5N,141.2W
10455,2397 March 29,18:49:52,T,36.7N,118.9W
10456,2397 September 22,00:23:55,A,30.9S,157.2E
10457,2398 February 17,17:08:14,P,61.7S,43.5E
10458,2398 March 19,07:27:08,P,61.2N,14.4W
10459,2398 August 13,01:53:37,P,62.2N,82.9W
10460,2398 September 11,10:16:34,P,61.2S,52.3W
10461,2399 February 6,18:46:44,A,61.6S,51.0W
10462,2399 August 2,18:55:14,T,48.0N,80.4W
10463,2400 January 26,18:00:10,A,26.0S,79.9W
10464,2400 July 22,10:54:48,T,9.1N,19.0E
10465,2401 January 14,22:15:20,A,11.9N,156.4W
10466,2401 July 11,21:29:20,P,64.2S,169.9W
10467,2401 December 5,22:53:37,P,67.5S,22.4E
10468,2402 January 4,09:42:28,P,64.7N,12.2E
10469,2402 June 1,09:44:38,P,67.8N,135.9W
10470,2402 November 25,14:45:41,T,76.2S,59.6W
10471,2403 May 21,11:36:55,A,36.1N,7.4E
10472,2403 November 15,03:36:24,A,26.8S,124.9E
10473,2404 May 9,20:05:45,T,11.4S,112.8W
10474,2404 November 3,09:44:07,A,20.5N,42.0E
10475,2405 March 31,02:18:52,P,71.9N,47.9E
10476,2405 April 29,10:43:55,P,70.6S,65.3E
10477,2405 October 23,09:58:55,P,71.3N,83.8E
10478,2406 March 20,17:57:23,T,44.5N,101.3W
10479,2406 September 12,21:45:23,A,49.6S,165.5W
10480,2407 March 10,04:41:40,A,2.7S,116.1E
10481,2407 September 2,09:38:25,T,5.1N,39.2E
10482,2408 February 27,07:59:40,A,50.8S,85.5E
10483,2408 August 22,02:07:39,T,52.3N,170.0E
10484,2409 February 15,07:12:30,P,71.1S,149.6W
10485,2409 July 13,10:09:33,P,68.1S,24.6E
10486,2409 August 11,18:38:31,P,70.4N,44.8E
10487,2410 January 5,19:31:39,A,38.8N,108.2W
10488,2410 July 2,18:42:30,A,1.6S,94.4W
10489,2410 December 26,08:33:58,T,14.1S,56.6E
10490,2411 June 21,20:37:43,A,44.2N,126.9W
10491,2411 December 16,00:19:07,T,53.6S,171.2E
10492,2412 June 9,21:48:04,P,65.0N,62.1E
10493,2412 December 4,14:06:31,P,64.5S,178.7W
10494,2413 April 30,19:03:57,T,40.0S,75.0W
10495,2413 October 25,05:13:20,A,46.2N,137.3E
10496,2414 April 20,10:39:39,T,5.0N,27.7E
10497,2414 October 14,04:58:50,A,2.2N,111.8E
10498,2415 April 10,02:59:35,T,38.9N,119.6E
10499,2415 October 3,07:47:48,A,31.8S,47.4E
10500,2416 February 29,01:13:31,P,61.3S,86.2W
10501,2416 March 29,15:24:54,P,61.2N,142.2W
10502,2416 August 23,09:26:38,P,61.8N,155.2E
10503,2416 September 21,17:57:51,P,61.1S,176.0W
10504,2417 February 17,02:40:42,A,58.3S,168.3W
10505,2417 August 13,02:28:06,T,48.3N,171.4E
10506,2418 February 6,02:04:04,A,23.3S,160.5E
10507,2418 August 2,18:11:10,T,10.9N,89.0W
10508,2419 January 26,06:44:37,A,13.2N,75.2E
10509,2419 July 23,04:16:45,A,45.6S,98.2E
10510,2419 December 17,07:40:07,P,66.5S,119.7W
10511,2420 January 15,18:30:39,P,63.8N,129.2W
10512,2420 June 11,16:17:02,P,66.8N,115.6E
10513,2420 December 5,23:23:52,T,80.2S,174.0W
10514,2421 May 31,18:32:59,A,42.4N,95.0W
10515,2421 November 25,11:51:41,A,30.4S,2.4E
10516,2422 May 21,03:34:51,T,5.0S,133.1E
10517,2422 November 14,17:27:40,A,15.9N,75.8W
10518,2423 April 11,10:32:40,P,71.6N,89.1W
10519,2423 May 10,18:35:17,P,69.7S,64.8W
10520,2423 November 3,17:24:51,P,70.5N,40.5W
10521,2424 March 31,02:10:10,T,51.3N,131.9E
10522,2424 September 23,05:09:46,A,58.6S,74.1E
10523,2425 March 20,12:41:12,A,3.1N,4.7W
10524,2425 September 12,17:18:07,Tm,2.3S,77.5W
10525,2426 March 9,15:44:45,A,44.7S,32.5W
10526,2426 September 2,09:48:47,T,43.8N,51.6E
10527,2427 February 26,15:03:45,P,71.7S,79.3E
10528,2427 July 24,17:18:10,P,69.1S,93.7W
10529,2427 August 23,02:04:51,P,71.1N,79.4W
10530,2428 January 17,04:07:20,A,40.5N,119.1E
10531,2428 July 13,01:23:55,A,8.3S,163.9E
10532,2429 January 5,17:22:56,T,13.0S,74.9W
10533,2429 July 2,03:04:30,A,38.6N,139.6E
10534,2429 December 26,09:07:20,T,53.7S,44.9E
10535,2430 June 21,04:29:27,P,66.0N,48.0W
10536,2430 December 15,22:37:29,P,65.5S,44.0E
10537,2431 May 12,02:43:30,T,44.8S,170.4E
10538,2431 November 5,12:45:40,A,49.5N,24.5E
10539,2432 April 30,18:37:31,T,5.8N,91.0W
10540,2432 October 24,12:19:58,A,0.8N,2.1E
10541,2433 April 20,11:01:32,T,40.8N,0.9E
10542,2433 October 13,15:20:16,A,33.4S,64.2W
10543,2434 March 11,09:12:47,P,61.1S,145.6E
10544,2434 April 9,23:15:24,P,61.4N,91.7E
10545,2434 September 3,17:04:08,P,61.5N,32.2E
10546,2434 October 3,01:46:03,P,61.1S,58.6E
10547,2435 February 28,10:29:45,A,55.4S,75.0E
10548,2435 August 24,10:03:12,T,48.2N,62.2E
10549,2436 February 17,10:05:24,A,20.2S,41.1E
10550,2436 August 13,01:29:33,Tm,11.8N,162.8E
